Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    88948      2020-7-13    no    
    56932      2016-5-21    no    
    72662      2020-4-6     yes   
    55129      2019-6-17    no    
    34200      2018-7-1     no    
    70395      2019-3-16    no    
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    16368      2020-4-19    no    
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    55457      2016-10-11   no    
    57448      2016-12-14   no    
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
Membership No  Date Joined  Active  
    97330      2020-2-18    yes   
    72662      2020-4-6     yes   
    89431      2020-5-23    yes   
    96046      2017-6-21    yes   
    96773      2019-1-3     yes   
    22519      2016-3-8     yes   
    92330      2016-11-10   yes   
    78754      2015-11-9    yes   
    74949      2020-7-8     yes   
    19970      2018-10-20   yes   
    41678      2017-8-8     yes   
    47001      2018-5-14    yes   
